gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_000053	C1	C2	OK	62.4494	107.108	0.778309	3.87135	5e-05	0.00157081	yes
XLOC_000129	C1	C2	OK	79.0465	138.815	0.812386	5.01503	5e-05	0.00157081	yes
XLOC_000218	C1	C2	OK	107.033	188.764	0.818522	5.12282	5e-05	0.00157081	yes
XLOC_000272	C1	C2	OK	50.7863	76.209	0.58552	3.82298	5e-05	0.00157081	yes
XLOC_000292	C1	C2	OK	8.42218	3.1379	-1.4244	-3.18629	5e-05	0.00157081	yes
XLOC_000349	C1	C2	OK	25.8517	46.0769	0.833784	4.69807	5e-05	0.00157081	yes
XLOC_000360	C1	C2	OK	30.6822	55.8335	0.86373	4.00174	5e-05	0.00157081	yes
XLOC_000531	C1	C2	OK	63.7772	146.047	1.19532	6.97056	5e-05	0.00157081	yes
XLOC_000655	C1	C2	OK	25.6967	47.9046	0.89858	2.27758	1e-04	0.00305895	yes
XLOC_000665	C1	C2	OK	219.255	310.715	0.502988	3.40039	5e-05	0.00157081	yes
XLOC_000709	C1	C2	OK	21.8766	43.0339	0.976084	5.50229	5e-05	0.00157081	yes
XLOC_000784	C1	C2	OK	37.1889	61.7379	0.731286	4.64617	5e-05	0.00157081	yes
XLOC_000881	C1	C2	OK	275.318	700.924	1.34816	8.91896	5e-05	0.00157081	yes
XLOC_000936	C1	C2	OK	40.4786	58.6839	0.535807	2.31513	5e-05	0.00157081	yes
XLOC_001048	C1	C2	OK	391.747	501.56	0.356501	2.51899	1e-04	0.00305895	yes
XLOC_001057	C1	C2	OK	155.548	390.929	1.32955	8.94532	5e-05	0.00157081	yes
XLOC_001526	C1	C2	OK	72.8909	122.658	0.750827	3.29305	5e-05	0.00157081	yes
XLOC_001618	C1	C2	OK	469.735	1263.22	1.42718	10.0153	5e-05	0.00157081	yes
XLOC_001752	C1	C2	OK	70.9752	106.401	0.58413	3.87729	5e-05	0.00157081	yes
XLOC_001760	C1	C2	OK	177.05	330.787	0.901742	4.2979	5e-05	0.00157081	yes
XLOC_001774	C1	C2	OK	36.1094	72.7231	1.01004	4.93164	5e-05	0.00157081	yes
XLOC_001808	C1	C2	OK	120.58	232.169	0.945181	6.31367	5e-05	0.00157081	yes
XLOC_002001	C1	C2	OK	23.2269	42.7191	0.879084	5.26128	5e-05	0.00157081	yes
XLOC_002140	C1	C2	OK	42.1843	73.538	0.801785	4.67524	5e-05	0.00157081	yes
XLOC_002156	C1	C2	OK	270.839	532.777	0.976099	6.53196	5e-05	0.00157081	yes
XLOC_002174	C1	C2	OK	31.9432	67.9515	1.089	6.30101	5e-05	0.00157081	yes
XLOC_002207	C1	C2	OK	178.16	387.325	1.12037	5.76022	5e-05	0.00157081	yes
XLOC_002261	C1	C2	OK	35.0674	72.4942	1.04774	5.66937	5e-05	0.00157081	yes
XLOC_002305	C1	C2	OK	46.9072	94.1304	1.00485	6.38101	5e-05	0.00157081	yes
XLOC_002385	C1	C2	OK	51.9213	88.7668	0.773693	4.61988	5e-05	0.00157081	yes
XLOC_002466	C1	C2	OK	130.591	329.363	1.33463	8.50173	5e-05	0.00157081	yes
XLOC_002494	C1	C2	OK	47.4041	106.466	1.1673	7.16136	5e-05	0.00157081	yes
XLOC_002563	C1	C2	OK	68.5201	150.947	1.13944	7.08187	5e-05	0.00157081	yes
XLOC_002657	C1	C2	OK	103.296	181.112	0.810095	5.58795	5e-05	0.00157081	yes
XLOC_002871	C1	C2	OK	68.7159	136.78	0.993145	6.27082	5e-05	0.00157081	yes
XLOC_002956	C1	C2	OK	90.8083	216.801	1.25548	5.35655	5e-05	0.00157081	yes
XLOC_002993	C1	C2	OK	39.0419	78.6278	1.01002	4.87895	5e-05	0.00157081	yes
XLOC_003002	C1	C2	OK	1.96895	1.24269	-0.663967	-1.87814	0.00065	0.018702	yes
XLOC_003085	C1	C2	OK	107.166	174.075	0.699866	3.64175	5e-05	0.00157081	yes
XLOC_003153	C1	C2	OK	42.9772	88.8623	1.048	6.31407	5e-05	0.00157081	yes
XLOC_003159	C1	C2	OK	35.9534	78.6547	1.1294	7.29849	5e-05	0.00157081	yes
XLOC_003233	C1	C2	OK	76.6768	95.8698	0.322285	2.089	4e-04	0.0116824	yes
XLOC_003248	C1	C2	OK	46.1744	96.1596	1.05834	6.6202	5e-05	0.00157081	yes
XLOC_003317	C1	C2	OK	648.612	1632.74	1.33187	9.25535	5e-05	0.00157081	yes
